,0,1,2,3,4,5,6,7,8,9,10,11,12,y_score_0.61,y_score_0.58,y_score_0.55,gbr,svr,rf,cnn,lstm
146,0,1,1,1,1,0,0,1,0,0,0,0,0,-0.0327536,0.0224409,-0.031386,0.590997,0.516423,0.590054,0.511141,0.578526
147,1,1,1,1,1,0,0,1,0,0,0,0,0,-0.0379408,0.0158522,-0.0447119,0.5815,0.515166,0.590054,0.517056,0.586057
148,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.0511941,0.0193792,-0.0465218,0.545519,0.532575,0.528314,0.53152,0.572382
149,0,1,0,0,0,1,0,1,0,0,0,0,0,-0.0339732,0.0264118,-0.0295213,0.622612,0.529427,0.614782,0.573813,0.578456
150,1,1,0,0,0,1,0,1,0,0,0,0,0,-0.0393003,0.018865,-0.0432023,0.613115,0.516717,0.614782,0.560955,0.567502
151,0,0,1,0,0,1,0,1,0,0,0,0,0,-0.0513555,0.0192506,-0.0417961,0.545519,0.52045,0.528314,0.527338,0.589181
152,1,0,1,0,0,1,0,1,0,0,0,0,0,-0.0577347,0.0115888,-0.0539411,0.536022,0.510566,0.528314,0.505676,0.580753
153,0,1,1,0,0,1,0,1,0,0,0,0,0,-0.0349227,0.024939,-0.0277885,0.603422,0.518704,0.590054,0.532696,0.592337
154,1,1,1,0,0,1,0,1,0,0,0,0,0,-0.0401099,0.0183048,-0.0411146,0.593925,0.514349,0.590054,0.533677,0.586748
155,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.048384,0.0212653,-0.0427335,0.545519,0.523608,0.528314,0.533891,0.576646
156,1,0,0,1,0,1,0,1,0,0,0,0,0,-0.0550995,0.0125345,-0.0546657,0.536022,0.514399,0.528314,0.515816,0.571136
157,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.0306925,0.0285739,-0.0254323,0.622612,0.521812,0.614782,0.558716,0.586089
158,1,1,0,1,0,1,0,1,0,0,0,0,0,-0.0360196,0.0210575,-0.0391133,0.613115,0.516711,0.614782,0.544152,0.578446
159,0,0,1,1,0,1,0,1,0,0,0,0,0,-0.0489579,0.020195,-0.0395969,0.545519,0.517578,0.528314,0.537834,0.584515
160,1,0,1,1,0,1,0,1,0,0,0,0,0,-0.0553371,0.0125818,-0.051742,0.536022,0.514021,0.528314,0.524977,0.584602
161,0,1,1,1,0,1,0,1,0,0,0,0,0,-0.0324262,0.0257868,-0.0242107,0.603422,0.516394,0.590054,0.544117,0.588767
162,1,1,1,1,0,1,0,1,0,0,0,0,0,-0.0376135,0.0191937,-0.0375368,0.593925,0.515025,0.590054,0.54175,0.59337
163,0,0,0,0,1,1,0,1,0,0,0,0,0,-0.0485995,0.0193633,-0.0493711,0.545519,0.514386,0.518572,0.547848,0.560002
164,1,0,0,0,1,1,0,1,0,0,0,0,0,-0.055315,0.0106184,-0.061303,0.536022,0.510715,0.518572,0.529955,0.549078
165,0,1,0,0,1,1,0,1,0,0,0,0,0,-0.0313782,0.0263844,-0.0323708,0.622612,0.518237,0.614782,0.576312,0.567522
166,1,1,0,0,1,1,0,1,0,0,0,0,0,-0.0367053,0.0188522,-0.0460515,0.613115,0.514979,0.614782,0.564072,0.557386
167,0,0,1,0,1,1,0,1,0,0,0,0,0,-0.0486477,0.0187437,-0.0448135,0.545519,0.514334,0.518572,0.52592,0.575131
168,1,0,1,0,1,1,0,1,0,0,0,0,0,-0.055027,0.0110972,-0.0569583,0.536022,0.512462,0.518572,0.510098,0.569387
169,0,1,1,0,1,1,0,1,0,0,0,0,0,-0.0322146,0.0244268,-0.030806,0.603422,0.515513,0.590054,0.55889,0.58412
170,1,1,1,0,1,1,0,1,0,0,0,0,0,-0.0374018,0.017804,-0.0441319,0.593925,0.51443,0.590054,0.549969,0.576921
171,0,0,0,1,1,1,0,1,0,0,0,0,0,-0.0466826,0.0203302,-0.0447426,0.545519,0.515681,0.518572,0.529331,0.561926
172,1,0,0,1,1,1,0,1,0,0,0,0,0,-0.0533983,0.0116116,-0.0566746,0.536022,0.513884,0.518572,0.515407,0.558233
173,0,1,0,1,1,1,0,1,0,0,0,0,0,-0.0289909,0.0276248,-0.0274415,0.622612,0.517047,0.614782,0.56034,0.571463
174,1,1,0,1,1,1,0,1,0,0,0,0,0,-0.034318,0.0201182,-0.0411224,0.613115,0.515422,0.614782,0.548428,0.566892
175,0,0,1,1,1,1,0,1,0,0,0,0,0,-0.0469379,0.0198898,-0.0415828,0.545519,0.51497,0.518572,0.519323,0.570412
176,1,0,1,1,1,1,0,1,0,0,0,0,0,-0.0533172,0.0122883,-0.0537277,0.536022,0.514235,0.518572,0.507632,0.569942
177,0,1,1,1,1,1,0,1,0,0,0,0,0,-0.0304061,0.025475,-0.0261967,0.603422,0.515268,0.590054,0.550952,0.579324
178,1,1,1,1,1,1,0,1,0,0,0,0,0,-0.0355933,0.0188906,-0.0395227,0.593925,0.514857,0.590054,0.54085,0.579028
179,0,0,0,0,0,0,1,1,0,0,0,0,0,-0.0533996,0.014675,-0.0497184,0.502768,0.50909,0.461003,0.533335,0.587048
180,1,0,0,0,0,0,1,1,0,0,0,0,0,-0.060115,0.00590342,-0.0616505,0.493271,0.500793,0.461003,0.514595,0.575235
181,0,1,0,0,0,0,1,1,0,0,0,0,0,-0.0361788,0.0217015,-0.032718,0.588506,0.520365,0.578637,0.532553,0.588487
182,1,1,0,0,0,0,1,1,0,0,0,0,0,-0.0415059,0.0141484,-0.0463989,0.579008,0.51331,0.578637,0.532343,0.579327
183,0,0,1,0,0,0,1,1,0,0,0,0,0,-0.0535611,0.0145403,-0.0449928,0.502768,0.511566,0.461003,0.520987,0.59074
184,1,0,1,0,0,0,1,1,0,0,0,0,0,-0.0599403,0.00686769,-0.0571377,0.493271,0.507245,0.461003,0.504402,0.591116
185,0,1,1,0,0,0,1,1,0,0,0,0,0,-0.0371284,0.0202237,-0.0309852,0.569316,0.514791,0.55391,0.520987,0.590323
186,1,1,1,0,0,0,1,1,0,0,0,0,0,-0.0423156,0.0135819,-0.0443112,0.559819,0.512836,0.55391,0.517944,0.590952
